GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	GO ASPECT
UniProtKB	A0A1B0GTQ4	MYMX	part_of	GO:0005789	endoplasmic reticulum membrane	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q2Q5T5|ensembl:ENSMUSP00000126690	9606	Ensembl	C
UniProtKB	A0AVF1	TTC26	involved_in	GO:0042073	intraciliary transport	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q8BS45|ensembl:ENSMUSP00000124369	9606	Ensembl	P
UniProtKB	A0AVF1	TTC26	part_of	GO:0036064	ciliary basal body	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q8BS45|ensembl:ENSMUSP00000124369	9606	Ensembl	C
UniProtKB	A0AVF1	TTC26	part_of	GO:0005813	centrosome	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q8BS45|ensembl:ENSMUSP00000124369	9606	Ensembl	C
UniProtKB	A0AVK6	E2F8	enables	GO:0001217	DNA-binding transcription repressor activity	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q58FA4|ensembl:ENSMUSP00000056778	9606	Ensembl	F
UniProtKB	A0AVK6	E2F8	involved_in	GO:0000122	negative regulation of transcription by RNA polymerase II	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q58FA4|ensembl:ENSMUSP00000056778	9606	Ensembl	P
UniProtKB	A0AVT1	UBA6	involved_in	GO:0060996	dendritic spine development	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q8C7R4|ensembl:ENSMUSP00000035328	9606	Ensembl	P
UniProtKB	A0AVT1	UBA6	involved_in	GO:0021766	hippocampus development	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q8C7R4|ensembl:ENSMUSP00000035328	9606	Ensembl	P
UniProtKB	A0AVT1	UBA6	enables	GO:0004839	ubiquitin activating enzyme activity	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q8C7R4|ensembl:ENSMUSP00000035328	9606	Ensembl	F
UniProtKB	A0AVT1	UBA6	involved_in	GO:0021764	amygdala development	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q8C7R4|ensembl:ENSMUSP00000035328	9606	Ensembl	P
UniProtKB	A0AVT1	UBA6	involved_in	GO:0016567	protein ubiquitination	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q8C7R4|ensembl:ENSMUSP00000035328	9606	Ensembl	P
UniProtKB	A0MZ66	SHTN1	part_of	GO:0015630	microtubule cytoskeleton	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q8K2Q9|ensembl:ENSMUSP00000041378	9606	Ensembl	C
UniProtKB	A0MZ66	SHTN1	involved_in	GO:0048812	neuron projection morphogenesis	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q8K2Q9|ensembl:ENSMUSP00000041378	9606	Ensembl	P
UniProtKB	A0MZ66	SHTN1	part_of	GO:0005875	microtubule associated complex	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q8K2Q9|ensembl:ENSMUSP00000041378	9606	Ensembl	C
UniProtKB	A0MZ66	SHTN1	part_of	GO:0005874	microtubule	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q8K2Q9|ensembl:ENSMUSP00000041378	9606	Ensembl	C
UniProtKB	A0PJY2	FEZF1	involved_in	GO:0021772	olfactory bulb development	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q0VDQ9|ensembl:ENSMUSP00000031709	9606	Ensembl	P
UniProtKB	A0PJY2	FEZF1	involved_in	GO:0021537	telencephalon development	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q0VDQ9|ensembl:ENSMUSP00000031709	9606	Ensembl	P
UniProtKB	A0PJY2	FEZF1	involved_in	GO:0001764	neuron migration	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q0VDQ9|ensembl:ENSMUSP00000031709	9606	Ensembl	P
UniProtKB	A0PJY2	FEZF1	enables	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q0VDQ9|ensembl:ENSMUSP00000031709	9606	Ensembl	F
UniProtKB	A0PJY2	FEZF1	enables	GO:0000976	transcription regulatory region sequence-specific DNA binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q0VDQ9|ensembl:ENSMUSP00000031709	9606	Ensembl	F
UniProtKB	A0PJY2	FEZF1	involved_in	GO:0050767	regulation of neurogenesis	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q0VDQ9|ensembl:ENSMUSP00000031709	9606	Ensembl	P
UniProtKB	A0PJY2	FEZF1	involved_in	GO:0030900	forebrain development	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q0VDQ9|ensembl:ENSMUSP00000031709	9606	Ensembl	P
UniProtKB	A0PJY2	FEZF1	involved_in	GO:0021797	forebrain anterior/posterior pattern specification	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q0VDQ9|ensembl:ENSMUSP00000031709	9606	Ensembl	P
UniProtKB	A0PJY2	FEZF1	involved_in	GO:0007411	axon guidance	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q0VDQ9|ensembl:ENSMUSP00000031709	9606	Ensembl	P
UniProtKB	A0PJY2	FEZF1	enables	GO:0001227	DNA-binding transcription repressor activity RNA polymerase II-specific	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q0VDQ9|ensembl:ENSMUSP00000031709	9606	Ensembl	F
UniProtKB	A0PJY2	FEZF1	involved_in	GO:0000122	negative regulation of transcription by RNA polymerase II	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q0VDQ9|ensembl:ENSMUSP00000031709	9606	Ensembl	P
UniProtKB	A1L190	SYCE3	involved_in	GO:0007131	reciprocal meiotic recombination	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:B5KM66|ensembl:ENSMUSP00000131766	9606	Ensembl	P
UniProtKB	A1L190	SYCE3	part_of	GO:0000801	central element	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:B5KM66|ensembl:ENSMUSP00000131766	9606	Ensembl	C
UniProtKB	A1L4H1	SSC5D	involved_in	GO:0050830	defense response to Gram-positive bacterium	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q8BV57|ensembl:ENSMUSP00000052126	9606	Ensembl	P
UniProtKB	A1L4H1	SSC5D	involved_in	GO:0050829	defense response to Gram-negative bacterium	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q8BV57|ensembl:ENSMUSP00000052126	9606	Ensembl	P
UniProtKB	A1L4H1	SSC5D	involved_in	GO:0042494	detection of bacterial lipoprotein	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q8BV57|ensembl:ENSMUSP00000052126	9606	Ensembl	P
UniProtKB	A1XBS5	FAM92A	part_of	GO:0036064	ciliary basal body	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q8BP22|ensembl:ENSMUSP00000103920	9606	Ensembl	C
UniProtKB	A1YPR0	ZBTB7C	involved_in	GO:0045944	positive regulation of transcription by RNA polymerase II	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q8VCZ7|ensembl:ENSMUSP00000057856	9606	Ensembl	P
UniProtKB	A2PYH4	HFM1	involved_in	GO:0000712	resolution of meiotic recombination intermediates	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:D3Z4R1|ensembl:ENSMUSP00000108310	9606	Ensembl	P
UniProtKB	A2RU54	HMX2	involved_in	GO:0007420	brain development	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P43687|ensembl:ENSMUSP00000058205	9606	Ensembl	P
UniProtKB	A2RUB1	MEIOC	involved_in	GO:0006302	double-strand break repair	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:A2AG06|ensembl:ENSMUSP00000097947	9606	Ensembl	P
UniProtKB	A2RUB1	MEIOC	involved_in	GO:0048255	mRNA stabilization	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:A2AG06|ensembl:ENSMUSP00000097947	9606	Ensembl	P
UniProtKB	A3KMH1	VWA8	enables	GO:0016887	ATPase activity	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q8CC88|ensembl:ENSMUSP00000048925	9606	Ensembl	F
UniProtKB	A4D126	CRPPA	involved_in	GO:0007411	axon guidance	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q5RJG7|ensembl:ENSMUSP00000061646	9606	Ensembl	P
UniProtKB	A5D6W6	FITM1	part_of	GO:0005789	endoplasmic reticulum membrane	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q91V79|ensembl:ENSMUSP00000022826	9606	Ensembl	C
UniProtKB	A5D6W6	FITM1	part_of	GO:0030176	integral component of endoplasmic reticulum membrane	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q91V79|ensembl:ENSMUSP00000022826	9606	Ensembl	C
UniProtKB	A5LHX3	PSMB11	part_of	GO:0005839	proteasome core complex	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q8BG41|ensembl:ENSMUSP00000132140	9606	Ensembl	C
UniProtKB	A5PKW4	PSD	involved_in	GO:0031175	neuron projection development	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q5DTT2|ensembl:ENSMUSP00000093729	9606	Ensembl	P
